Rank,Title,Link,Img Link,All topics,Breaking news,Free Speech Week,Protest coverage,Sexual misconduct,Opinion
86,Berkeley may soon legalize public display of female nipples,http://www.dailycal.org/2017/09/01/berkeley-may-soon-legalize-ordinance-permitting-public-display-female-nipples/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/09/free-the-nipple_cc-900x580.jpeg,y,,,,,
87,UC Berkeley to set a perimeter around 6 buildings for Ben Shapiro’s event,http://www.dailycal.org/2017/09/07/uc-berkeley-to-set-a-perimeter-around-6-buildings-for-ben-shapiros-event/,http://i0.wp.com/www.dailycal.org/assets/uploads/2016/02/zellerbach_rgarner_file-900x580.jpg,y,,,y,,
88,Ann Coulter says she is no longer speaking at UC Berkeley,http://www.dailycal.org/2017/04/26/ann-coulter-says-no-longer-hosting-planned-speaking-event-april-27/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/04/Coulter_Jasmanyflores_staff-copy-900x580.jpg,y,y,,y,,
89,Former UC Berkeley visiting professor accused of sex assault by then-graduate student,http://www.dailycal.org/2017/11/10/former-uc-berkeley-visiting-professor-accused-sex-assault-graduate-student/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/11/FrancoMoretti.jpg,y,,,,y,
90,"BUSD teacher, activist Yvette Felarca arrested Tuesday",http://www.dailycal.org/2017/07/19/busd-teacher-activist-yvette-felarca-arrested-tuesday/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/02/felarca_arielhayat_file-900x580.jpg,y,,,,,
91,Condemning protesters same as condoning hate speech,http://www.dailycal.org/2017/02/07/condemning-protesters-condoning-hate-speech/,http://i0.wp.com/www.dailycal.org/assets/uploads/2016/10/michael-drummond-file-crime-400x258.jpg,y,,,,,y
92,Berkeley ranks No. 1 as most expensive college town in the country,http://www.dailycal.org/2017/08/31/berkeley-ranks-no-1-as-most-expensive-college-town-in-the-country/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/08/housing_lfrick_file-copy-900x580.jpg,y,,,,,
93,"Investigation revealing Chancellor Dirks’ $4,990 misuse of public funds cost university $57,671",http://www.dailycal.org/2017/05/30/investigation-revealing-chancellor-dirks-4990-misuse-public-funds-cost-university-57671/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/04/dirks_dkim_file-copy-900x580.jpg,y,,,,,
94,Best Starbucks holiday drinks,http://www.dailycal.org/2017/11/09/best-starbucks-holiday-drinks/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/11/holidaymenu_deborahchen_staff-900x580.jpg,y,,,,,
95,UC Berkeley implements new 2-degree program between College of Engineering and Haas School of Business,http://www.dailycal.org/2017/04/27/uc-berkeley-implements-new-2-degree-program-college-engineering-haas-school-business/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/04/haas_mraphael_file-copy-900x580.jpg,y,,,,,
96,"Cal baseball sophomore Jared Horn injured in car accident, four dead",http://www.dailycal.org/2017/11/27/cal-baseball-sophomore-jared-horn-injured-car-accident-four-dead/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/11/baseball_21_liannefrick_file-900x580.jpg,y,y,,,,
97,"UCLA jumps up 8 spots, beats UC Berkeley in full-time MBA program rankings",http://www.dailycal.org/2017/11/08/ucla-beats-uc-berkeley-2017-graduate-business-program-rankings/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/11/haas_markunger_file-900x580.jpg,y,,,,,
98,Milo Yiannopoulos announces intent to reschedule campus talk,http://www.dailycal.org/2017/02/04/milo-yiannopoulos-announces-intention-reschedule-campus-talk/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/02/mug_Milo-Yiannopoulos.jpg,y,,,,,
99,A brief guide to Bay Area Slang,http://www.dailycal.org/2017/08/25/brief-guide-bay-area-slang/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/08/specialissue_0824-900x580.gif,y,,,,,
100,‘An impossible situation’: Cal Athletics gets $20M bailout from chancellor’s office,http://www.dailycal.org/2017/10/19/impossible-situation-cal-athletics-gets-20m-bailout-chancellors-office/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/10/memorial_anaisabeldiaz_staff-copy-900x580.jpg,y,y,,,,
